epoch,train_loss,train_acc,val_loss,val_acc
1,0.446416,0.820600,0.462805,0.814000
2,0.416938,0.823200,0.395710,0.822000
3,0.396273,0.824600,0.348358,0.856000
4,0.362224,0.853400,0.307070,0.879000
5,0.327129,0.868200,0.282500,0.872000
6,0.308909,0.875600,0.299868,0.879000
7,0.283337,0.887000,0.223218,0.911000
8,0.273284,0.888800,0.202476,0.918000
9,0.254911,0.897800,0.179670,0.928000
10,0.229538,0.906200,0.189158,0.927000
11,0.219956,0.910000,0.152790,0.940000
12,0.207359,0.914200,0.135067,0.942000
13,0.197537,0.919800,0.131921,0.953000
14,0.194470,0.916800,0.115224,0.957000
15,0.188176,0.921800,0.104659,0.956000
